Товар.Код	Товар.Наименование	Группа.Код
477	Аспаркам табл. уп.контурн.б/яч. 10 Медисорб	108
485	Аспаркам табл. уп.контурн.б/яч. 10 Усолье-Сибирский ХФК	108
487	Аспаркам табл. уп.контурн.яч. 10 Ай Си Эн Лексредства	108
828	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Экополис	33
836	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз амп. [с нож.амп.] пач.картон. 10 Иммун	33
839	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Биомед НПО	33
844	Бифидумбактерин сухой в свечах супп.ваг. уп.контурн.яч. 5 пач.картон. 2 Ланафарм	33
846	Бифидумбактерин сухой в свечах супп.рект. уп.контурн.яч. 5 пач.картон. 2 ИмБио	33
848	Бифидумбактерин форте пор. для приема внутрь пак. пач.картон. 30 Партнер	33
849	Бифидумбактерин форте пор. для приема внутрь пак. пач.картон. 10 Партнер	33
1137	Витрум Кальциум + Витамин Д_3 табл.п.о. фл.ПЭ 60 пач.картон. 1 Unipharm	198
1138	Витрум Кальциум + Витамин Д_3 табл.п.о. фл.ПЭ 30 пач.картон. 1 Unipharm	198
1145	Виферон супп.рект. 500000 МЕ уп.контурн.яч. 10 № 2 Ферон	33
1148	Виферон супп.рект. 1000000 МЕ уп.контурн.яч. 10 № 3 Ферон	33
1151	Виферон супп.рект. 150000 МЕ уп.контурн.яч. 10 № 1 Ферон	33
2289	Кальций-Д_3 Никомед табл.жев. с апельс. фл. 50 Nycomed Pharma	198
2290	Кальций-Д_3 Никомед табл.жев. с апельс. фл. 20 Nycomed Pharma	198
2291	Кальций-Д_3 Никомед табл.жев. с апельс. фл. 100 Nycomed Pharma	198
2804	Лидокаин аэроз.доз. 10 % фл. 50 мл [с расп.] кор. 1 Egis	50
2814	Лидокаина гидрохлорид р-р д/ин. 2 % амп. 2 мл [с нож.амп.] пач.картон. 10 Верофарм (Воронежский фили	50
2815	Лидокаина гидрохлорид р-р д/ин. 2 % амп. 2 мл [с нож.амп.] пач.картон. 10 Ай Си Эн Полифарм	50
2823	Лидокаина гидрохлорида раствор для инъекций р-р д/ин. 10 % амп. 2 мл [с нож.амп.] пач.картон. 10 Био	50
2825	Лидокаина гидрохлорида раствор для инъекций р-р д/ин. 2 % амп. 2 мл [с нож.амп.] пач.картон. 10 Алле	50
2827	Лидокаина гидрохлорида раствор для инъекций р-р д/ин. 2 % амп. 2 мл [с нож.амп.] пач.картон. 10 Биос	50
3626	Панангин р-р д/ин. амп. 10 мл кор. 5 Gedeon Richter	108
6278	Аддитива кальций табл.шип. 4,2 г туба 10 NP Pharma	108
7537	Алликор табл. фл.пластик. 60 ИНАТ-ФАРМА	320
8790	Амиксин табл.п.о. 60 мг компл.уп.-фармац. 6 пач.картон. 1 Дальхимфарм	33
10256	Анестезол (на полиэтиленоксидной основе) супп.рект. уп.контурн.яч. 5 пач.картон. 2 Нижфарм	50
10258	Анестезол (на полиэтиленоксидной основе) супп.рект. уп.контурн.яч. 5 пач.картон. 2 Дальхимфарм	50
10350	Анти-Ангин табл.д/рассас. уп.контурн.яч. 10 пач.картон. 2 Natur Product	247
10648	Анузол супп.рект. уп.контурн.яч. 5 пач.картон. 2 Нижфарм	247
