Дата	Отдел.Код	Товар.Код	Час	Количество	Сумма
01.01.2004 0:00	1	31052	13	1	56.5
01.01.2004 0:00	1	36259	16	1	72.48
01.01.2004 0:00	1	40345	15	1	15.84
01.01.2004 0:00	1	65841	14	1	163.02
01.01.2004 0:00	1	82545	13	1	173.32
01.01.2004 0:00	1	83563	13	1	47.95
02.01.2004 0:00	1	2291	20	1	276.8
02.01.2004 0:00	1	11291	18	1	86.94
02.01.2004 0:00	1	24061	19	1	156.29
02.01.2004 0:00	1	27649	15	1	210.5
02.01.2004 0:00	1	31052	20	1	56.5
02.01.2004 0:00	1	33340	11	1	36.67
02.01.2004 0:00	1	33340	17	1	36.67
02.01.2004 0:00	1	38453	12	1	104.68
02.01.2004 0:00	1	40345	20	1	15.84
02.01.2004 0:00	1	57168	20	1	128.96
02.01.2004 0:00	1	78981	11	1	44.48
02.01.2004 0:00	1	83480	12	10	59.9
03.01.2004 0:00	1	828	18	1	34.98
03.01.2004 0:00	1	1151	14	1	233.41
03.01.2004 0:00	1	10648	12	1	17.56
03.01.2004 0:00	1	11291	12	1	86.94
03.01.2004 0:00	1	11824	11	1	12.41
03.01.2004 0:00	1	13840	9	1	3.77
03.01.2004 0:00	1	21269	10	1	217.54
03.01.2004 0:00	1	21269	14	1	217.54
03.01.2004 0:00	1	24061	11	1	156.29
03.01.2004 0:00	1	28092	17	1	72.07
03.01.2004 0:00	1	32427	18	1	57.29
03.01.2004 0:00	1	32560	13	1	5.28
03.01.2004 0:00	1	36259	16	1	72.48
03.01.2004 0:00	1	43701	9	1	4.92
03.01.2004 0:00	1	82845	8	2	63.24
04.01.2004 0:00	1	487	14	10	22.4
04.01.2004 0:00	1	2291	14	1	276.8
04.01.2004 0:00	1	11291	11	1	86.94
04.01.2004 0:00	1	11931	14	1	13.6
04.01.2004 0:00	1	28551	17	1	15.22
04.01.2004 0:00	1	31052	13	1	56.5
04.01.2004 0:00	1	31052	17	1	56.5
04.01.2004 0:00	1	32560	13	2	10.56
04.01.2004 0:00	1	33340	16	1	36.67
04.01.2004 0:00	1	40345	17	1	15.84
04.01.2004 0:00	1	45816	12	1	123.16
04.01.2004 0:00	1	52458	12	1	46.99
04.01.2004 0:00	1	71804	14	1	22.57
04.01.2004 0:00	1	79038	13	2	7.2
04.01.2004 0:00	1	79107	17	1	19.43
05.01.2004 0:00	1	828	11	1	34.98
05.01.2004 0:00	1	15955	9	1	343.99
05.01.2004 0:00	1	28092	15	1	72.07
05.01.2004 0:00	1	32560	14	1	5.28
05.01.2004 0:00	1	32560	15	1	5.28
05.01.2004 0:00	1	33340	12	1	36.67
05.01.2004 0:00	1	33513	16	1	5.81
05.01.2004 0:00	1	50780	19	1	8.72
05.01.2004 0:00	1	52458	18	1	46.99
05.01.2004 0:00	1	57168	13	1	128.96
05.01.2004 0:00	1	65841	17	1	163.02
05.01.2004 0:00	1	78981	19	1	44.48
06.01.2004 0:00	1	1145	10	1	270.4
06.01.2004 0:00	1	1145	13	1	270.4
06.01.2004 0:00	1	2289	14	1	181.1
06.01.2004 0:00	1	11931	10	1	13.6
06.01.2004 0:00	1	21270	15	1	98.21
06.01.2004 0:00	1	21270	19	1	98.21
06.01.2004 0:00	1	27490	16	1	126.06
06.01.2004 0:00	1	32438	19	1	88.7
06.01.2004 0:00	1	33513	12	1	7.26
06.01.2004 0:00	1	33513	19	1	7.26
06.01.2004 0:00	1	33704	14	1	134.14
06.01.2004 0:00	1	50780	8	1	8.72
06.01.2004 0:00	1	50780	9	2	17.44
06.01.2004 0:00	1	50780	10	1	8.72
06.01.2004 0:00	1	50780	11	1	8.72
06.01.2004 0:00	1	50780	14	1	8.72
06.01.2004 0:00	1	50780	16	1	8.72
06.01.2004 0:00	1	50780	18	2	17.44
06.01.2004 0:00	1	50780	20	1	8.72
06.01.2004 0:00	1	58592	12	1	86.33
06.01.2004 0:00	1	70284	16	1	63.65
06.01.2004 0:00	1	79108	13	1	14.39
06.01.2004 0:00	1	82545	15	1	173.32
06.01.2004 0:00	1	82545	17	1	173.32
06.01.2004 0:00	1	82845	15	2	63.24
06.01.2004 0:00	1	83480	8	10	59.9
07.01.2004 0:00	1	828	13	1	34.98
07.01.2004 0:00	1	33068	13	1	60.19
07.01.2004 0:00	1	38453	14	1	104.68
07.01.2004 0:00	1	43728	10	2	9.46
07.01.2004 0:00	1	50780	12	1	8.72
07.01.2004 0:00	1	50780	16	1	8.72
07.01.2004 0:00	1	50780	17	1	8.72
07.01.2004 0:00	1	58590	16	1	126.59
07.01.2004 0:00	1	83563	19	1	47.95
08.01.2004 0:00	1	28092	13	1	82.1
08.01.2004 0:00	1	28560	18	1	27.28
08.01.2004 0:00	1	31052	12	1	56.5
08.01.2004 0:00	1	32427	19	1	66.53
08.01.2004 0:00	1	32435	14	2	17.64
08.01.2004 0:00	1	33513	17	1	5.81
08.01.2004 0:00	1	36259	10	1	72.48
08.01.2004 0:00	1	36259	17	1	72.48
08.01.2004 0:00	1	40345	18	1	15.84
08.01.2004 0:00	1	50780	16	1	8.72
08.01.2004 0:00	1	50780	17	1	8.72
08.01.2004 0:00	1	50780	19	1	8.72
08.01.2004 0:00	1	50780	20	1	8.72
08.01.2004 0:00	1	79038	13	1	3.6
09.01.2004 0:00	1	828	11	1	34.98
09.01.2004 0:00	1	3626	12	1	78.54
09.01.2004 0:00	1	11291	19	2	173.88
09.01.2004 0:00	1	11824	16	1	12.41
09.01.2004 0:00	1	25127	20	1	85.06
09.01.2004 0:00	1	28558	16	2	49.9
09.01.2004 0:00	1	32427	16	1	58.61
09.01.2004 0:00	1	32560	15	1	7.1
09.01.2004 0:00	1	33037	18	1	102.7
09.01.2004 0:00	1	36259	9	1	72.48
09.01.2004 0:00	1	36259	14	1	72.48
09.01.2004 0:00	1	50780	9	2	17.44
09.01.2004 0:00	1	50780	11	1	8.72
09.01.2004 0:00	1	50780	15	1	8.72
09.01.2004 0:00	1	50780	16	1	8.72
09.01.2004 0:00	1	50780	17	2	17.44
09.01.2004 0:00	1	50780	18	1	8.72
09.01.2004 0:00	1	82545	13	1	173.32
10.01.2004 0:00	1	828	12	1	34.98
10.01.2004 0:00	1	828	15	1	34.98
10.01.2004 0:00	1	8790	11	1	304.66
10.01.2004 0:00	1	11834	11	1	10.86
10.01.2004 0:00	1	27498	14	1	66.79
10.01.2004 0:00	1	32560	12	1	7.1
10.01.2004 0:00	1	32560	16	1	7.1
10.01.2004 0:00	1	36259	11	1	72.48
10.01.2004 0:00	1	36259	14	1	72.48
10.01.2004 0:00	1	38453	13	1	109.82
10.01.2004 0:00	1	45816	20	1	123.16
10.01.2004 0:00	1	50780	13	2	17.44
10.01.2004 0:00	1	50780	14	1	8.72
10.01.2004 0:00	1	50780	15	1	8.72
10.01.2004 0:00	1	50780	16	2	17.44
10.01.2004 0:00	1	50780	18	1	8.72
10.01.2004 0:00	1	51407	19	1	89.63
10.01.2004 0:00	1	58590	20	1	128.7
10.01.2004 0:00	1	78981	9	1	46.55
10.01.2004 0:00	1	78981	19	1	46.55
10.01.2004 0:00	1	79054	13	2	8.98
10.01.2004 0:00	1	82845	18	2	77.66
10.01.2004 0:00	1	83480	9	10	59.9
11.01.2004 0:00	1	828	12	1	34.98
11.01.2004 0:00	1	10648	16	1	18.3
11.01.2004 0:00	1	15955	11	1	343.99
11.01.2004 0:00	1	21269	11	1	186.31
11.01.2004 0:00	1	31052	10	1	56.5
11.01.2004 0:00	1	31052	19	1	56.5
11.01.2004 0:00	1	33513	9	1	5.81
11.01.2004 0:00	1	36259	14	1	72.48
11.01.2004 0:00	1	36259	20	1	72.48
11.01.2004 0:00	1	38453	18	1	108.88
11.01.2004 0:00	1	45810	14	1	149.74
11.01.2004 0:00	1	50780	8	2	17.44
11.01.2004 0:00	1	50780	10	1	8.72
11.01.2004 0:00	1	50780	18	1	8.72
11.01.2004 0:00	1	51407	14	1	89.63
11.01.2004 0:00	1	79054	14	1	4.49
11.01.2004 0:00	1	79054	17	2	8.98
11.01.2004 0:00	1	82545	11	1	173.32
11.01.2004 0:00	1	82545	13	1	180.81
11.01.2004 0:00	1	82845	10	2	77.66
12.01.2004 0:00	1	828	13	1	36.03
12.01.2004 0:00	1	828	18	1	36.03
12.01.2004 0:00	1	2290	10	1	85.73
12.01.2004 0:00	1	2291	14	1	274.09
12.01.2004 0:00	1	11931	15	1	13.6
12.01.2004 0:00	1	27498	20	1	66.79
12.01.2004 0:00	1	31052	8	1	56.5
12.01.2004 0:00	1	36259	10	1	72.48
12.01.2004 0:00	1	36259	12	1	72.75
12.01.2004 0:00	1	36259	17	1	72.75
12.01.2004 0:00	1	41527	9	1	213.04
12.01.2004 0:00	1	42879	9	1	783.2
12.01.2004 0:00	1	45819	17	1	150.69
12.01.2004 0:00	1	50780	10	3	26.16
12.01.2004 0:00	1	50780	14	2	17.44
12.01.2004 0:00	1	50780	17	2	17.44
12.01.2004 0:00	1	50780	20	1	8.72
12.01.2004 0:00	1	57168	11	1	128.96
12.01.2004 0:00	1	82545	17	1	180.81
13.01.2004 0:00	1	828	16	1	36.03
13.01.2004 0:00	1	11931	19	1	13.6
13.01.2004 0:00	1	33340	12	1	37.3
13.01.2004 0:00	1	36259	10	1	72.75
13.01.2004 0:00	1	36259	15	1	72.75
13.01.2004 0:00	1	40345	20	3	47.52
13.01.2004 0:00	1	50780	8	1	8.72
13.01.2004 0:00	1	50780	10	2	17.44
13.01.2004 0:00	1	50780	12	2	17.44
13.01.2004 0:00	1	50780	17	3	26.16
13.01.2004 0:00	1	52458	14	1	46.99
13.01.2004 0:00	1	57923	15	1	188.89
13.01.2004 0:00	1	83563	16	1	43.83
14.01.2004 0:00	1	10648	19	1	18.3
14.01.2004 0:00	1	11291	18	1	86.94
14.01.2004 0:00	1	28092	13	1	82.1
14.01.2004 0:00	1	28551	11	1	19.4
14.01.2004 0:00	1	28560	11	1	27.28
14.01.2004 0:00	1	31052	19	1	56.5
14.01.2004 0:00	1	40345	17	1	15.84
14.01.2004 0:00	1	50780	15	1	8.72
14.01.2004 0:00	1	50780	16	1	8.72
